Date,Company,Open,High,Low,Close,Volume
02-01-2020,Apple,71.34403938,72.39407028,71.09116882,72.3338623,135480400
03-01-2020,Apple,71.56319785,72.38924951,71.40665859,71.63063049,146322800
06-01-2020,Apple,70.75402846,72.23995764,70.50356115,72.20142365,118387200
07-01-2020,Apple,72.2110565,72.4663378,71.64269658,71.86185455,108872000
08-01-2020,Apple,71.56560624,73.31886213,71.56560624,73.01782227,132079200
09-01-2020,Apple,73.99320239,74.76145686,73.74274247,74.56879425,170108400
10-01-2020,Apple,74.80241032,75.30093425,74.23645372,74.73738098,140644800
13-01-2020,Apple,75.05287083,76.36058652,74.93485817,76.33409119,121532000
14-01-2020,Apple,76.27147085,76.48099344,75.18050256,75.30332184,161954400
15-01-2020,Apple,75.10345563,75.9824909,74.54953766,74.98062897,121923600
16-01-2020,Apple,75.52248201,76.03064119,75.16123412,75.91985321,108829200
17-01-2020,Apple,76.16791647,76.76277167,75.86206255,76.76036835,137816400
21-01-2020,Apple,76.38949562,76.83021491,76.10290498,76.24018097,110843200
22-01-2020,Apple,76.72424744,77.0638214,76.41839347,76.51232147,101832400
23-01-2020,Apple,76.56530142,76.96026202,76.01860816,76.88079071,104472000
24-01-2020,Apple,77.12642473,77.86818383,76.46895092,76.65921021,146537600
27-01-2020,Apple,74.67236453,75.08418517,73.42485661,74.40504456,161940000
28-01-2020,Apple,75.28403918,76.680861,75.18529724,76.50987244,162234000
29-01-2020,Apple,78.13791501,78.95674202,77.39855929,78.11141968,216229200
30-01-2020,Apple,77.1962705,78.05122093,76.76517928,77.99823761,126743200
31-01-2020,Apple,77.29023022,77.71168632,74.24611685,74.53993225,199588400
03-02-2020,Apple,73.28513614,75.49838165,72.78420908,74.33516693,173788400
04-02-2020,Apple,75.93673642,76.97954309,75.53214043,76.78928375,136616400
05-02-2020,Apple,77.91394468,78.21258128,76.81334833,77.41542816,118826800
06-02-2020,Apple,77.6851533,78.32335641,77.12883216,78.32094574,105425600
07-02-2020,Apple,77.82124623,78.06989154,76.7663141,77.25636292,117684000
10-02-2020,Apple,75.8441708,77.6233139,75.76451086,77.6233139,109348800
11-02-2020,Apple,78.11818095,78.19059906,76.9377142,77.15497589,94323200
12-02-2020,Apple,77.60396119,78.99203092,77.60396119,78.98720551,113730400
13-02-2020,Apple,78.2606139,78.75066279,78.05783581,78.42476654,94747600
14-02-2020,Apple,78.39336887,78.69271421,77.93712009,78.44406891,80113600
18-02-2020,Apple,76.12899354,77.18875829,75.94794094,77.00770569,152531200
19-02-2020,Apple,77.2491065,78.35232207,77.2491065,78.12298584,93984000
20-02-2020,Apple,77.8840305,78.37166303,76.81702354,77.32155609,100566000
21-02-2020,Apple,76.9159769,77.3577494,74.95578179,75.57135773,129554000
24-02-2020,Apple,71.75961758,73.43012593,69.82114748,71.98170471,222195200
25-02-2020,Apple,72.65037938,73.03179363,69.07277808,69.54351044,230673600
26-02-2020,Apple,69.16933289,71.90926363,69.16209109,70.64672089,198054800
27-02-2020,Apple,67.85849792,69.04137312,65.89347069,66.02865601,320605600
28-02-2020,Apple,62.10345398,67.20913548,61.88860138,65.99004364,426510000
02-03-2020,Apple,68.14337454,72.76866614,67.04257526,72.1337738,341397200
03-03-2020,Apple,73.30700682,73.38666673,68.99311992,69.84286499,319475600
04-03-2020,Apple,71.56167241,73.24183914,70.76262721,73.0825119,219178400
05-03-2020,Apple,71.33956494,72.31242083,70.34740002,70.71192169,187572800
06-03-2020,Apple,68.07578381,70.20496434,67.88990577,69.77285004,226176800
09-03-2020,Apple,63.67016438,67.13188921,63.48911178,64.25436401,286744800
10-03-2020,Apple,66.9025608,69.14761011,65.02685113,68.88206482,285290000
11-03-2020,Apple,66.96292518,67.88749741,65.62795666,66.48976898,255598800
12-03-2020,Apple,61.78481034,65.17894285,59.86806603,59.9235878,418474000
13-03-2020,Apple,63.94537377,67.57366791,61.06301183,67.10292816,370732000
16-03-2020,Apple,58.40756965,62.54280865,57.93683362,58.47033691,322423600
17-03-2020,Apple,59.74978379,62.18795713,57.55059758,61.0412941,324056000
18-03-2020,Apple,57.88132192,60.35087885,57.24160039,59.5470047,300233600
19-03-2020,Apple,59.72081111,61.03645943,58.56690269,59.09074783,271857200
20-03-2020,Apple,59.67011595,60.79264444,55.03999854,55.33934021,401693200
23-03-2020,Apple,55.05931255,55.16070159,51.32479999,54.16370392,336752800
24-03-2020,Apple,57.05813232,59.79323446,56.56084169,59.59769821,287531200
25-03-2020,Apple,60.53193331,62.34245973,58.97488133,59.26939392,303602000
26-03-2020,Apple,59.51079893,62.44626304,59.47217348,62.38832855,252087200
27-03-2020,Apple,61.01473182,61.76790953,59.63873267,59.80530167,204216800
30-03-2020,Apple,60.52951737,61.68342585,60.20603387,61.51202774,167976400
31-03-2020,Apple,61.70273536,63.36600162,60.8336813,61.38649368,197002000
01-04-2020,Apple,59.50596169,60.04187774,57.7268191,58.15651703,176218400
02-04-2020,Apple,58.018927,59.18007746,57.18849822,59.12696838,165934000
03-04-2020,Apple,58.61277241,59.31284111,57.68819653,58.27722168,129880000
06-04-2020,Apple,60.56814992,63.51568524,60.20121917,63.3611908,201820400
07-04-2020,Apple,65.37208042,65.58934952,62.52352139,62.62732315,202887200
08-04-2020,Apple,63.42633184,64.54403085,63.06181769,64.23020935,168895200
09-04-2020,Apple,64.86515033,65.19587209,63.89953593,64.69374847,161834800
13-04-2020,Apple,64.77095221,66.07212021,64.17226907,65.96348572,131022800
14-04-2020,Apple,67.59296194,69.58454028,67.12222229,69.29485321,194994800
15-04-2020,Apple,68.17234288,69.12105681,67.74506136,68.66239166,131154400
