Date,Company,Open,High,Low,Close,Volume,Year,Month,Day,Price Change,Daily Return %,MA20,MA50
30-01-2020,Apple,77.1962705,78.05122093,76.76517928,77.99823761,126743200,2020,January,30,0.80196711,1.038867687,75.14835549,0
31-01-2020,Apple,77.29023022,77.71168632,74.24611685,74.53993225,199588400,2020,January,31,-2.75029797,-3.558403128,75.25865898,0
03-02-2020,Apple,73.28513614,75.49838165,72.78420908,74.33516693,173788400,2020,February,3,1.05003079,1.432801855,75.3938858,0
04-02-2020,Apple,75.93673642,76.97954309,75.53214043,76.78928375,136616400,2020,February,4,0.85254733,1.122707362,75.62327881,0
05-02-2020,Apple,77.91394468,78.21258128,76.81334833,77.41542816,118826800,2020,February,5,-0.49851652,-0.639829651,75.90095749,0
06-02-2020,Apple,77.6851533,78.32335641,77.12883216,78.32094574,105425600,2020,February,6,0.63579244,0.81842207,76.16611366,0
07-02-2020,Apple,77.82124623,78.06989154,76.7663141,77.25636292,117684000,2020,February,7,-0.56488331,-0.725872866,76.3004921,0
10-02-2020,Apple,75.8441708,77.6233139,75.76451086,77.6233139,109348800,2020,February,10,1.7791431,2.345787529,76.44478874,0
11-02-2020,Apple,78.11818095,78.19059906,76.9377142,77.15497589,94323200,2020,February,11,-0.96320506,-1.233010099,76.48583298,0
12-02-2020,Apple,77.60396119,78.99203092,77.60396119,78.98720551,113730400,2020,February,12,1.38324432,1.782440353,76.67002716,0
13-02-2020,Apple,78.2606139,78.75066279,78.05783581,78.42476654,94747600,2020,February,13,0.16415264,0.209751281,76.84223404,0
14-02-2020,Apple,78.39336887,78.69271421,77.93712009,78.44406891,80113600,2020,February,14,0.05070004,0.064673889,76.96844482,0
18-02-2020,Apple,76.12899354,77.18875829,75.94794094,77.00770569,152531200,2020,February,18,0.87871215,1.154241123,76.98081169,0
19-02-2020,Apple,77.2491065,78.35232207,77.2491065,78.12298584,93984000,2020,February,19,0.87387934,1.131248476,77.07495194,0
20-02-2020,Apple,77.8840305,78.37166303,76.81702354,77.32155609,100566000,2020,February,20,-0.56247441,-0.722194789,77.11541367,0
21-02-2020,Apple,76.9159769,77.3577494,74.95578179,75.57135773,129554000,2020,February,21,-1.34461917,-1.748166277,77.04994202,0
24-02-2020,Apple,71.75961758,73.43012593,69.82114748,71.98170471,222195200,2020,February,24,0.22208713,0.309487616,76.81606674,0
25-02-2020,Apple,72.65037938,73.03179363,69.07277808,69.54351044,230673600,2020,February,25,-3.10686894,-4.27646623,76.57299004,0
26-02-2020,Apple,69.16933289,71.90926363,69.16209109,70.64672089,198054800,2020,February,26,1.477388,2.135900316,76.27983246,0
27-02-2020,Apple,67.85849792,69.04137312,65.89347069,66.02865601,320605600,2020,February,27,-1.82984191,-2.696555282,75.67569428,0
28-02-2020,Apple,62.10345398,67.20913548,61.88860138,65.99004364,426510000,2020,February,28,3.88658966,6.258250405,75.07528458,0
02-03-2020,Apple,68.14337454,72.76866614,67.04257526,72.1337738,341397200,2020,March,2,3.99039926,5.855887365,74.95497665,0
03-03-2020,Apple,73.30700682,73.38666673,68.99311992,69.84286499,319475600,2020,March,3,-3.46414183,-4.725526222,74.73036156,0
04-03-2020,Apple,71.56167241,73.24183914,70.76262721,73.0825119,219178400,2020,March,4,1.52083949,2.125215131,74.54502297,0
05-03-2020,Apple,71.33956494,72.31242083,70.34740002,70.71192169,187572800,2020,March,5,-0.62764325,-0.879796857,74.20984764,0
06-03-2020,Apple,68.07578381,70.20496434,67.88990577,69.77285004,226176800,2020,March,6,1.69706623,2.492907367,73.78244286,0
09-03-2020,Apple,63.67016438,67.13188921,63.48911178,64.25436401,286744800,2020,March,9,0.58419963,0.917540634,73.13234291,0
10-03-2020,Apple,66.9025608,69.14761011,65.02685113,68.88206482,285290000,2020,March,10,1.97950402,2.958786624,72.69528046,0
11-03-2020,Apple,66.96292518,67.88749741,65.62795666,66.48976898,255598800,2020,March,11,-0.4731562,-0.706594281,72.16202011,0
12-03-2020,Apple,61.78481034,65.17894285,59.86806603,59.9235878,418474000,2020,March,12,-1.86122254,-3.012427375,71.20883923,0
13-03-2020,Apple,63.94537377,67.57366791,61.06301183,67.10292816,370732000,2020,March,13,3.15755439,4.937893398,70.64274731,73.73338875
16-03-2020,Apple,58.40756965,62.54280865,57.93683362,58.47033691,322423600,2020,March,16,0.06276726,0.107464256,69.64406071,73.45611824
17-03-2020,Apple,59.74978379,62.18795713,57.55059758,61.0412941,324056000,2020,March,17,1.29151031,2.161531353,68.84574013,73.24433151
18-03-2020,Apple,57.88132192,60.35087885,57.24160039,59.5470047,300233600,2020,March,18,1.66568278,2.877755249,67.91694107,72.99124313
19-03-2020,Apple,59.72081111,61.03645943,58.56690269,59.09074783,271857200,2020,March,19,-0.63006328,-1.055014606,67.00540066,72.735821
20-03-2020,Apple,59.67011595,60.79264444,55.03999854,55.33934021,401693200,2020,March,20,-4.33077574,-7.257863792,65.99379978,72.38225136
23-03-2020,Apple,55.05931255,55.16070159,51.32479999,54.16370392,336752800,2020,March,23,-0.89560863,-1.626625158,65.10289974,71.97414955
24-03-2020,Apple,57.05813232,59.79323446,56.56084169,59.59769821,287531200,2020,March,24,2.53956589,4.450839498,64.60560913,71.6713559
25-03-2020,Apple,60.53193331,62.34245973,58.97488133,59.26939392,303602000,2020,March,25,-1.26253939,-2.085741064,64.03674278,71.33006195
26-03-2020,Apple,59.51079893,62.44626304,59.47217348,62.38832855,252087200,2020,March,26,2.87752962,4.835306653,63.85472641,71.07176209
27-03-2020,Apple,61.01473182,61.76790953,59.63873267,59.80530167,204216800,2020,March,27,-1.20943015,-1.982193667,63.54548931,70.76825554
30-03-2020,Apple,60.52951737,61.68342585,60.20603387,61.51202774,167976400,2020,March,30,0.98251037,1.623192143,63.01440201,70.48009903
31-03-2020,Apple,61.70273536,63.36600162,60.8336813,61.38649368,197002000,2020,March,31,-0.31624168,-0.512524571,62.59158344,70.17262154
01-04-2020,Apple,59.50596169,60.04187774,57.7268191,58.15651703,176218400,2020,April,1,-1.34944466,-2.267746998,61.8452837,69.81094826
02-04-2020,Apple,58.018927,59.18007746,57.18849822,59.12696838,165934000,2020,April,2,1.10804138,1.909792954,61.26603603,69.4632412
03-04-2020,Apple,58.61277241,59.31284111,57.68819653,58.27722168,129880000,2020,April,3,-0.33555073,-0.572487388,60.69125462,69.09116982
06-04-2020,Apple,60.56814992,63.51568524,60.20121917,63.3611908,201820400,2020,April,6,2.79304088,4.611402005,60.64659595,68.82520943
07-04-2020,Apple,65.37208042,65.58934952,62.52352139,62.62732315,202887200,2020,April,7,-2.74475727,-4.198668992,60.33385887,68.589655
08-04-2020,Apple,63.42633184,64.54403085,63.06181769,64.23020935,168895200,2020,April,8,0.80387751,1.267419204,60.22088089,68.34406174
09-04-2020,Apple,64.86515033,65.19587209,63.89953593,64.69374847,161834800,2020,April,9,-0.17140186,-0.264243371,60.45938892,68.07570831
13-04-2020,Apple,64.77095221,66.07212021,64.17226907,65.96348572,131022800,2020,April,13,1.19253351,1.841154822,60.4024168,67.83501328
14-04-2020,Apple,67.59296194,69.58454028,67.12222229,69.29485321,194994800,2020,April,14,1.70189127,2.517852778,60.94364262,67.73011169
15-04-2020,Apple,68.17234288,69.12105681,67.74506136,68.66239166,131154400,2020,April,15,0.49004878,0.718838108,61.32469749,67.61665619
16-04-2020,Apple,69.37453102,69.57248364,68.16027185,69.20796204,157125200,2020,April,16,-0.16656898,-0.240101054,61.80774536,67.46502975
17-04-2020,Apple,68.72516946,69.27074378,66.83497575,68.26891327,215250000,2020,April,17,-0.45625619,-0.663885144,62.26665363,67.28209946
20-04-2020,Apple,67.09810395,67.99853427,66.83255864,66.85186768,130015200,2020,April,20,-0.24623627,-0.366979476,62.84228001,67.0527179
21-04-2020,Apple,66.69499557,66.92915739,64.07576467,64.78549194,180991600,2020,April,21,-1.90950363,-2.863038844,63.37336941,66.80330048
